"OutletID","Title","Region","Postcode","Address","Telephone","Fax","Email","Website","Longitude","Latitude","Products"
"27179","1021 Mediterranean / PARRAMATTA","PARRAMATTA","2150","Shop 1/2-8 River Road West, PARRAMATTA, NSW, 2150","","","","","151.0194104","-33.8161199","Rare Penny Cabernet Sauvignon 750ml, Rare Penny Chardonnay 750ml, Rare Penny Pinot Grigio 750ml, Rare Penny Pinot Noir 750ml, Rare Penny Sauvignon Blanc 750ml, Rare Penny Shiraz 750ml"
"101353","1806 / MELBOURNE","MELBOURNE","3000","169 Exhibition Street, MELBOURNE, VIC, 3000","","","","","144.9701118","-37.8116478","Rare Penny Prosecco 750ml"
"108113","29th Apartment / ST KILDA","ST KILDA","3182","Shop 3, 29 Fitzroy Street, ST KILDA, VIC, 3182","","","","","144.9825715","-37.8568739","Rare Penny Cabernet Sauvignon 750ml, Rare Penny Pinot Grigio 750ml, Rare Penny Pinot Noir 750ml, Rare Penny Prosecco 750ml"
"41037","4 Donkey Bar / SURRY HILLS","SURRY HILLS","2010","27 Albion Street, SURRY HILLS, NSW, 2010","","","","","151.2099304","-33.8824674","Rare Penny Cabernet Sauvignon 750ml"
"10439","Aldos Cafe and Pizzeria / PERISHER VALLEY","PERISHER VALLEY","2624","Upper Level Perisher Skitube Terminal Kosciuszko Road, PERISHER VALLEY, NSW, 2624","","","","","148.4117103","-36.4054691","Rare Penny Pinot Noir 750ml"
"3599","Alexander Hotel / DEVONPORT","DEVONPORT","7310","78 Formby Road, DEVONPORT, TAS, 7310","03 6424 2671","","ebos@goodstone.com.au","","146.3628514","-41.1808419","Rare Penny Cabernet Sauvignon 750ml, Rare Penny Shiraz 750ml"
"2145","Alexandra Hotel / ALEXANDRA","ALEXANDRA","3714","64 Grant Street, ALEXANDRA, VIC, 3714","","","","","145.7091598","-37.1915727","Rare Penny Pinot Noir 750ml"
"32976","Alternate Root / URALLA","URALLA","2358","48 Bridge Street, URALLA, NSW, 2358","","","","","151.5014312","-30.6411808","Rare Penny Pinot Grigio 750ml, Rare Penny Prosecco 750ml"
"3088","Altona RSL Sub Branch / ALTONA","ALTONA","3018","31 Sargood Street, ALTONA, VIC, 3018","","","","","144.8286534","-37.8677656","Rare Penny Pinot Noir 750ml"
"129197","Amber Cellars / ASCOT VALE","ASCOT VALE","3032","Shop 3, 2-6 Epsom Road, ASCOT VALE, VIC, 3032","03 9372 8829","","","","144.9049053","-37.7708879","Rare Penny Cabernet Merlot 750ml, Rare Penny Shiraz 750ml"
"63175","Anna Bay Bottleshop / ANNA BAY","ANNA BAY","2316","136 Gan Gan Road, ANNA BAY, NSW, 2316","","","","","152.0840866","-32.7781119","Rare Penny Cabernet Merlot 750ml, Rare Penny Chardonnay 750ml, Rare Penny Pinot Noir 750ml"
"63960","Anna Bay Tavern / ANNA BAY","ANNA BAY","2316","124 Gan Gan Road, ANNA BAY, NSW, 2316","","","","","152.083201","-32.7781174","Rare Penny Pinot Noir 750ml, Rare Penny Prosecco 750ml, Rare Penny Shiraz 750ml"
"28363","Aon / SYDNEY","SYDNEY","2000","Level 33, 201 Kent street, SYDNEY, NSW, 2000","","","","","151.2121821","-33.8658526","Rare Penny Pinot Noir 750ml"
"3600","Argosy Motor Inn / EAST DEVONPORT","EAST DEVONPORT","7310","221 Tarleton Street, EAST DEVONPORT, TAS, 7310","03 6427 8872","","","","146.370375","-41.1920385","Rare Penny Cabernet Merlot 750ml, Rare Penny Cabernet Sauvignon 750ml, Rare Penny Pinot Grigio 750ml, Rare Penny Sauvignon Blanc 750ml, Rare Penny Shiraz 750ml"
"9531","Armidale Ex Services Club / ARMIDALE","ARMIDALE","2350","137 Dumaresq Street, ARMIDALE, NSW, 2350","","","","","151.6645224","-30.5108723","Rare Penny Cabernet Sauvignon 750ml, Rare Penny Chardonnay 750ml, Rare Penny Pinot Grigio 750ml, Rare Penny Pinot Noir 750ml"
"72452","Arthur Restaurant / SURRY HILLS","SURRY HILLS","2010","544 Bourke Street, SURRY HILLS, NSW, 2010","","","","","151.2154199","-33.8889706","Rare Penny Prosecco 750ml"
"28656","Artisanal Cellars / NEWCASTLE","NEWCASTLE","2300","Shop R17, 169-185 Hunter Street, NEWCASTLE, NSW, 2300","","","","","151.7797453","-32.9271733","Rare Penny Prosecco 750ml"
"75568","Ashmore Tavern - DBS Quench Cellars / ASHMORE","ASHMORE","4214","Shop 52, Ashmore Plaza Shopping Centre, 146 Cotlew Street, ASHMORE, QLD, 4214","","","","","153.3839621","-27.9873226","Rare Penny Cabernet Merlot 750ml, Rare Penny Cabernet Sauvignon 750ml, Rare Penny Chardonnay 750ml, Rare Penny Pinot Noir 750ml, Rare Penny Sauvignon Blanc 750ml, Rare Penny Shiraz 750ml"
"75566","Ashmore Tavern and Quench Liq Warehouse / ASHMORE","ASHMORE","4214","161 Cotlew Street (Corner of Cotlew St and Currumburra Road), ASHMORE, QLD, 4214","(07) 5597 6866","","barn@quenchliquor.com.au","","153.3827034","-27.9856617","Rare Penny Cabernet Merlot 750ml, Rare Penny Cabernet Sauvignon 750ml, Rare Penny Chardonnay 750ml, Rare Penny Pinot Noir 750ml, Rare Penny Sauvignon Blanc 750ml, Rare Penny Shiraz 750ml"
"81250","Ashmore Tavern DBS Bronberg Plaza Cellar / SOUTHPORT","SOUTHPORT","4215","Shop 9 Bronberg Shopping Centre, Slatyer Street, SOUTHPORT, QLD, 4215","","","","","153.3992833","-27.9952563","Rare Penny Cabernet Merlot 750ml, Rare Penny Cabernet Sauvignon 750ml, Rare Penny Chardonnay 750ml, Rare Penny Pinot Noir 750ml, Rare Penny Shiraz 750ml"
"75593","Aspley Central Tavern and Quench DBS / ASPLEY","ASPLEY","4034","1378 Gympie Road, ASPLEY, QLD, 4034","(07) 3263 ","","manager@aspleycentraltavern.com.au","","153.0164134","-27.3620199","Rare Penny Cabernet Merlot 750ml, Rare Penny Cabernet Sauvignon 750ml, Rare Penny Chardonnay 750ml, Rare Penny Pinot Grigio 750ml, Rare Penny Pinot Noir 750ml, Rare Penny Prosecco 750ml, Rare Penny Sauvignon Blanc 750ml, Rare Penny Shiraz 750ml"
"65437","Augusta Cellars / COLLAROY PLATEAU","COLLAROY PLATEAU","2097","Shop 6, 63 Veterans Parade, COLLAROY PLATEAU, NSW, 2097","","","","","151.2869315","-33.7279293","Rare Penny Cabernet Merlot 750ml, Rare Penny Pinot Noir 750ml"
"131258","AUR Foodstore Supermarket / THOMASTOWN","THOMASTOWN","3074","126 Alexander Avenue, THOMASTOWN, VIC, 3074","","","","","145.025353","-37.6812975","Rare Penny Cabernet Merlot 750ml, Rare Penny Cabernet Sauvignon 750ml, Rare Penny Sauvignon Blanc 750ml, Rare Penny Shiraz 750ml"
